Metric,Value,Source,Run At
Degree Variance,285.35,schema_2017-08-14.n3,14.08.2017
Number of Entities,1655,schema_2017-08-14.n3,14.08.2017
Number of Properties,15,schema_2017-08-14.n3,14.08.2017
Number of Classes,616,schema_2017-08-14.n3,14.08.2017
Number of Instances,1588,schema_2017-08-14.n3,14.08.2017
Number of Object Properties,12,schema_2017-08-14.n3,14.08.2017
Depth of Inheritance Tree,5,schema_2017-08-14.n3,14.08.2017
Property Class Ratio,0,schema_2017-08-14.n3,14.08.2017
Class Property Ratio,0,schema_2017-08-14.n3,14.08.2017
Inheritance Richness,1,schema_2017-08-14.n3,14.08.2017
Attribute Richness,0,schema_2017-08-14.n3,14.08.2017
Average Population,2.58,schema_2017-08-14.n3,14.08.2017
Average Class Connectivity,10.2,schema_2017-08-14.n3,14.08.2017
Cohesion,1,schema_2017-08-14.n3,14.08.2017

